Departamento  de la Instituci¢n;Provincias dela Rep£blica  de Panam†;Tipo de Ley;Fecha de Entrada de Queja;Mes de Entrada de Queja;Motivo de Queja;Agente Econ¢mico;Actividad;Marca de Producto;Producto;Velor de Apertura de Queja;Resultado de Queja;Efectivo Devuelto al Consumidor (B/.);Fecha de Cierre de Queja;Mes Cierre de Queja;A§o Cierre de Queja;A§o Recibido de Queja
Veh°culo a Motor;Chiriqu°;Ley 14 de 2018;45315;Ene 24;Devoluci¢n de dinero;AUTO PARTES SILVERA;Repuestos para autos;;;170;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45308;Ene 24;Resoluci¢n de contrato;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;20;Desistimiento;;45453;Jun 24;2024;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45309;Ene 24;Incumplimiento de garant°a;HEPS CARBONE;Ferreter°as, materiales de construccion o similares;;;62.21;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45310;Ene 24;Incumplimiento de garant°a;EL PUNTO PODEROSO;AlmacÇn por departamentos;Mystic;Refrigeradora;99.99;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45310;Ene 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;20;Desistimiento;;45454;Jun 24;2024;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45313;Ene 24;Incumplimiento de garant°a;DORADO CENTER;Supermercados;;Bicicleta;267.49;Desistimiento;;45453;Jun 24;2024;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45313;Ene 24;Incumplimiento de garant°a;BALBOA FURNITURE;Muebler°a/equipo electr¢nico;LG;Equipo de sonido;1514.95;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45313;Ene 24;Incumplimiento de garant°a;BBB SHOES Y BOOTS;AlmacÇn de ropa y calzados;;Calzado;37.4;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45313;Ene 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;40;Pendiente constancia desistimiento;;45436;May 24;2024;2024
Decisi¢n;Chiriqu°;Ley 81 de 2009;45316;Ene 24;Devoluci¢n de dinero;BELLA VISTA PROMOCIONES INMOBILIARIAS, S.A.;Inmobiliarias;;Vivienda;854.6;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45320;Ene 24;Devoluci¢n de dinero;ANGIE SHOP;AlmacÇn de ropa y calzados;;;8.56;Desistimiento;;45453;Jun 24;2024;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45321;Ene 24;Devoluci¢n de dinero;CENTRO TECNICO SUPERIORES  DE CHIRIQU÷;Escuelas / colegio;;;60;Desistimiento;;45467;Jun 24;2024;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45321;Ene 24;Incumplimiento de servicio;CABLE & WIRELESS PANAMµ;Telefonia;;;8.43;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45293;Ene 24;Incumplimiento de garant°a;MULTI HOGAR;Muebler°as;;;107;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45295;Ene 24;Falta de informaci¢n;FREDY STORE, S.A.;Distribuidoras e importadoras;;;65;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45301;Ene 24;Incumplimiento de garant°a;MULTI HOGAR;Muebler°as;Sankey;Refrigeradora;695.01;En proceso;;;;;2024
Veh°culo a Motor;Herrera;Ley 14 de 2018;45293;Ene 24;Incumplimiento de garant°a;TECHNYMOTORS;Agencia de motos;Xmotors;;1550;Desistimiento;;45322;Ene 24;2024;2024
Decisi¢n;Herrera;Ley 45 de 2007;45302;Ene 24;Incumplimiento de garant°a;CONSTRUCCIONES Y DESARROLLOS NACIONALES, S.A.;Constructoras;;Vivienda;2140;En proceso;;;;;2024
Veh°culo a Motor;Herrera;Ley 14 de 2018;45293;Ene 24;Venta enga§osa;GRUPO SILABA;Venta de autos usados;KIA;Auto;13395;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45320;Ene 24;Rescindir contrato;SKY PANAMµ;Tv por cable;;;20;Desistimiento;;45411;Abri 24;2024;2024
Decisi¢n;Herrera;Ley 45 de 2007;45307;Ene 24;Incumplimiento de garant°a;CAMPOTENCIA, S.A.;Agroquimicos;;;400;Desistimiento/Devoluci¢n;400;45317;Ene 24;2024;2024
Veh°culo a Motor;Los Santos;Ley 14 de 2018;45302;Ene 24;Da§os y perjuicios;ESTACION JESUS NAZARENO;Estaciones de gasolinas;Toyota;Auto;3667.83;En proceso;;;;;2024
Decisi¢n;Los Santos;Ley 45 de 2007;45310;Ene 24;Rescindir contrato;SKY PANAMµ;Tv por cable;;;37.26;Desistimiento;;45393;Abri 24;2024;2024
Decisi¢n;Los Santos;Ley 45 de 2007;45313;Ene 24;Rescindir contrato;SKY PANAMµ;Tv por cable;;;12;Desistimiento;;45369;Mar 24;2024;2024
Veh°culo a Motor;Veraguas;Ley 14 de 2018;45309;Ene 24;Incumplimiento de garant°a;COPAMA, S.A.;Agencia de autos;MG;Auto;21995;Desistimiento;;45573;Oct 24;2024;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45295;Ene 24;Falta de informaci¢n;ITALGRES PANAMA, S.A.;AlmacÇn por departamentos;;;1668.54;En proceso;;;;;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45303;Ene 24;Incumplimiento de garant°a;EL IMAN PODEROSO;AlmacÇn por departamentos;;;320.99;Desistimiento/Devoluci¢n;320.99;45377;Mar 24;2024;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45307;Ene 24;Incumplimiento de garant°a;FUTURE MOBILE, S.A.;Computadoras;;Laptop;181.9;Desistimiento/Devoluci¢n;181.9;45377;Mar 24;2024;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45307;Ene 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;44.66;Desistimiento;;45464;Jun 24;2024;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45314;Ene 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Telefonia;;;54.23;Acuerdo en audiencia/Varios;;45464;Jun 24;2024;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45321;Ene 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Desistimiento;;45464;Jun 24;2024;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45321;Ene 24;Resoluci¢n de contrato;CLARO PANAMµ;Celulares;;;33.62;Acuerdo en audiencia/Varios;;45464;Jun 24;2024;2024
Veh°culo a Motor;Pm† Oeste;Ley 14 de 2018;45294;Ene 24;Incumplimiento de garant°a;EXCEL AUTOMOTRIZ;Agencia de autos;Nissan;Auto;29000;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45294;Ene 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;67.25;Desistimiento;;45393;Abri 24;2024;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45295;Ene 24;Resoluci¢n de contrato;COMERCIALIZADORA HOTELERA, S.A.;Inmobiliarias;;;350;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45296;Ene 24;Falta de informaci¢n;ASHLEY;AlmacÇn por departamentos;;Juego de recamara;374.51;Desistimiento/Devoluci¢n;374.51;45349;Feb 24;2024;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45299;Ene 24;Incumplimiento de servicio;TICKET PLUS;Eventos art°sticos;;;150.4;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45302;Ene 24;Incumplimiento de garant°a;ÈNICA;ElectrodomÇsticos/equipos electr¢nicos;Panasonic;Aire acondicionado;749;Desistimiento;;45351;Feb 24;2024;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45302;Ene 24;Incumplimiento de garant°a;ÈNICA;ElectrodomÇsticos/equipos electr¢nicos;Mabe;Refrigeradora;727.6;Acuerdo en audiencia/Reemplazo;;45453;Jun 24;2024;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45303;Ene 24;Incumplimiento de garant°a;MULTIMAX;ElectrodomÇsticos/equipos electr¢nicos;Samsung;Refrigeradora;609.99;Desistimiento;;45453;Jun 24;2024;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45306;Ene 24;Falta de informaci¢n;VENDELA, S.A.;AlmacÇn por departamentos;;;10.7;Desistimiento/Devoluci¢n;10.7;45393;Abri 24;2024;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45310;Ene 24;Incumplimiento de garant°a;EXPOJOYAS;Joyer°a/Relojer°as;;;120;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45313;Ene 24;Incumplimiento de servicio;UNIVERSIDAD AMERICANA;Universidad;;;230;Desistimiento;;45393;Abri 24;2024;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45313;Ene 24;Falta de informaci¢n;ALMACEN MULTI OFERTAS;AlmacÇn por departamentos;Nisato;Estufa;192.59;Acuerdo en audiencia/Entrega del bien;;45453;Jun 24;2024;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45316;Ene 24;Incumplimiento de contrato;NATURAL ENGLISH;Cursos de inglÇs;;;1800;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45320;Ene 24;Resoluci¢n de contrato;DIGICEL;Celulares;;Celular;13.44;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45320;Ene 24;Incumplimiento de servicio;DOCTOR MED CENTRO MEDICO;Cl°nicas/ Hospitales;;;175;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45321;Ene 24;Incumplimiento de garant°a;EL COSTO;AlmacÇn por departamentos;;;128.39;Desistimiento/Devoluci¢n;128.39;45393;Abri 24;2024;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45322;Ene 24;Incumplimiento de servicio;PGT LOGISTICS;Ventas por internet;Iphone;Celular;1282.93;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45350;Feb 24;Venta enga§osa;VOLCAN HEIGHTS, S.A.;Inmobiliarias;;Vivienda;5000;Acuerdo en audiencia/Varios;;45622;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45331;Feb 24;Venta enga§osa;VOLCAN HEIGHTS, S.A.;Inmobiliarias;;Vivienda;45.8;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45331;Feb 24;Incumplimiento de garant°a;MUNDO TECHNO;Celulares;;Celular;211.5;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45324;Feb 24;Incumplimiento de garant°a;CAR POINT, S.A.;Venta de autos usados;Nissan;Auto;7300;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45323;Feb 24;Incumplimiento de servicio;GM CARS SERVICES;Taller de reparaci¢n de autos;Toyota;Auto;1900;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45324;Feb 24;Incumplimiento de garant°a;GRUPO SILABA Y GRUPO Q;Agencia de autos;Chevrolet;Auto;20365;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45324;Feb 24;Custodia de bien;TALLER DE CHAPISTERIA Y PINTURA JMOSQUERA;Taller de reparaci¢n de autos;Nissan;Auto;4880.17;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45327;Feb 24;Incumplimiento de garant°a;GRUPO SILABA;Agencia de autos;KIA;Auto;655.23;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45327;Feb 24;Incumplimiento de garant°a;CONSULTENOS, S.A.;Venta de autos usados;Audi;Auto;9000;Transacci¢n extrajudicial;;45470;Jun 24;2024;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45327;Feb 24;Incumplimiento de servicio;AIRE POLAR;Taller de reparaci¢n de autos;Nissan;Auto;1530;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45329;Feb 24;Incumplimiento de servicio;COMPA•÷A GENERAL DE TRANSPORTE (CGT), S.A.;Taller de reparaci¢n de autos;Mazda;Auto;232.73;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45329;Feb 24;Incumplimiento de servicio;OEM STORE PANAMµ;Taller de reparaci¢n de autos;Land Rover;Auto;2941.45;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45330;Feb 24;Incumplimiento de garant°a;MEGA CAR;Venta de autos usados;Nissan;Auto;2033;Acuerdo en audiencia/Varios;;45476;Jul 24;2024;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45337;Feb 24;Falta de informaci¢n;TAXICOL;Repuestos para autos;KIA;Auto;55;Acuerdo en audiencia/Devoluci¢n de dinero;55;45426;May 24;2024;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45342;Feb 24;Falta de informaci¢n;CAPITAL CAR CASH CORP;Venta de autos usados;Hyundai;Auto;4170;Desistimiento;;45383;Abri 24;2024;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45342;Feb 24;Incumplimiento de garant°a;ROCK CARS AUTOS USADOS;Venta de autos usados;BMW;Auto;13500;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45343;Feb 24;Incumplimiento de garant°a;CMG MOTORS GROUP;Venta de autos usados;Toyota;Auto;19180;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45345;Feb 24;Incumplimiento de garant°a;RTR MOTOR SPORTS, S.A.;Agencia de autos;KTM;Moto;5999;Pendiente constancia desistimiento;;45537;Sep 24;2024;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45348;Feb 24;Incumplimiento de servicio;TALLER LJ LOO;Taller de reparaci¢n de autos;Toyota;Auto;2300;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45350;Feb 24;Incumplimiento de garant°a;CHAMPION MOTORS;Venta de autos usados;Suzuki;Auto;7190;Acuerdo en audiencia/Devoluci¢n de dinero;7190;45462;Jun 24;2024;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45351;Feb 24;Incumplimiento de servicio;SERVICENTRO VICENTE, S.A.;Taller de reparaci¢n de autos;Hyundai;Auto;1690.32;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45351;Feb 24;Falta de informaci¢n;ING CARS, S.A.;Alquiler de autos;Hyundai;Auto;100;Acuerdo en audiencia/Devoluci¢n de dinero;100;45418;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45328;Feb 24;Falta de informaci¢n;D H L PANAMA, S.A.;Servicio de intermediaci¢n;;;4056.63;Resoluci¢n/Devoluci¢n;3736.63;45468;Jun 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45328;Feb 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Desistimiento;;45357;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45328;Feb 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Pendiente constancia desistimiento;;45351;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45328;Feb 24;Vicio oculto;FONDOS FINANCIEROS GLOBALES, S.A.;Financieras;;Apartamento;3763.6;Transacci¢n extrajudicial;3763.6;45442;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45328;Feb 24;Falta de informaci¢n;GOLIAH GROUP PANAMA, S.A.;Agencias de viajes;;;2340;Resoluci¢n/Devoluci¢n;2340;45489;Jul 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45328;Feb 24;Falta de informaci¢n;MEDICA IMPORT;AlmacÇn por departamentos;;Sillas;229.95;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45328;Feb 24;Falta de informaci¢n;COPA AIRLINES;L°neas aÇreas;;;211.67;Transacci¢n extrajudicial;205.37;45362;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45328;Feb 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Desistimiento;;45357;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45328;Feb 24;Falta de informaci¢n;CIRCUIT SERVICES, S.A.;Muebler°as;;Mesa comedor;911;Acuerdo en audiencia/Devoluci¢n de dinero;350;45398;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45328;Feb 24;Falta de informaci¢n;RASTRO MULTIMOTORES;Repuestos para autos;Hyundai;Auto;1177;Resoluci¢n no acceder;;45435;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45328;Feb 24;Falta de informaci¢n;UNIVERSIDAD LATINA DE PANAMµ;Universidad;;;1523.42;Acuerdo en audiencia/Varios;1523.42;45378;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45328;Feb 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;20;Resoluciones/Varios;;45387;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45328;Feb 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;26;Pendiente constancia desistimiento;;45356;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45328;Feb 24;Falta de informaci¢n;TRAVEL AND EVENTS, S.A.;Agencias de viajes;;;2499;Acuerdo en audiencia/Devoluci¢n de dinero;2499;45387;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45328;Feb 24;Incumplimiento de contrato;TIGO PANAMµ;Tv por cable;;;25.2;Pendiente constancia desistimiento;;45357;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45329;Feb 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;32.48;Acuerdo en audiencia/Varios;;45378;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45344;Feb 24;Resoluci¢n de contrato;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;1488;Abandono;;45475;Jul 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45330;Feb 24;Cobro indebido;UNIVERSIDAD LATINA DE PANAMµ;Universidad;;;1196.79;Acuerdo en audiencia/Devoluci¢n de dinero;913.84;45399;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45329;Feb 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;31;Desistimiento;;45356;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45329;Feb 24;Incumplimiento de garant°a;E-VISION;ElectrodomÇsticos/equipos electr¢nicos;LG;Lavadora;649.44;Pendiente constancia desistimiento;;45369;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45329;Feb 24;Falta de informaci¢n;COPA AIRLINES;L°neas aÇreas;;;355.07;Acuerdo en audiencia/Devoluci¢n de dinero;355.07;45406;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45329;Feb 24;Incumplimiento de servicio;FATS SERVICES CENTERS;Repuestos y reparaciones (talleres varios no autos);;;230.05;Pendiente constancia desistimiento;;45356;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45330;Feb 24;Falta de informaci¢n;PROMOTORA CPM, S.A.;Inmobiliarias;;;1500;Resoluciones/Varios;;45527;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45330;Feb 24;Incumplimiento de garant°a;INVERGLASS PANAMA;AlmacÇn por departamentos;;;79.2;Desistimiento;;45391;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45330;Feb 24;Incumplimiento de servicio;WINGO;L°neas aÇreas;;;424.03;Resoluci¢n no acceder;;45425;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45331;Feb 24;Falta de informaci¢n;TU BIENESTAR COMPANY, S.A.;Funerarias;;;24;Desistimiento;;45370;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45331;Feb 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Desistimiento;;45372;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45331;Feb 24;Incumplimiento de servicio;SERVICENTRO PLAZA TOCUMEN;Repuestos y reparaciones (talleres varios no autos);;Refrigeradora;251.45;Desistimiento;;45350;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45344;Feb 24;Devoluci¢n de dinero;UNIVERSIDAD INTERAMERICANA DE PANAMµ;Universidad;;;1030;Desistimiento/Devoluci¢n;1030;45610;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45337;Feb 24;Custodia de bien;FASTBOX;Servicio de intermediaci¢n;;Reloj;749;Acuerdo en audiencia/Entrega del bien;;45358;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45337;Feb 24;Incumplimiento de servicio;TICKET PLUS;Eventos art°sticos;;;45.78;Pendiente constancia desistimiento;;45390;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45341;Feb 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;20;Abandono;;45462;Jun 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45341;Feb 24;Incumplimiento de garant°a;EL FUERTE;Supermercados;Samsung;Micro-onda;96.29;Pendiente constancia desistimiento;;45398;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45341;Feb 24;Incumplimiento de garant°a;ZULIAYA, S.A.;AlmacÇn por departamentos;;Abanico;13.9;Ordena correcci¢n;;45436;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45342;Feb 24;Incumplimiento de garant°a;MUEBLES DEL PAC÷FICO, S.A.;Muebler°a/equipo electr¢nico;;Lavadora;185;Desistimiento;;45356;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45348;Feb 24;Incumplimiento de garant°a;PRICESMART;Supermercados;;Freidora;60.97;Pendiente constancia desistimiento;;45420;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45342;Feb 24;Incumplimiento de servicio;SU-PER-KLIN;Lavander°as o lavam†ticos;;;254.9;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45344;Feb 24;Cobro indebido;UBER;Servicios de transporte particular;;;30.44;Transacci¢n extrajudicial;;45406;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45344;Feb 24;Incumplimiento de servicio;TICKET PLUS;Eventos art°sticos;;;96.5;Acuerdo en audiencia/Devoluci¢n de dinero;96.5;45582;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45342;Feb 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;22;Desistimiento;;45366;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45342;Feb 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;22;Desistimiento;;45366;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45342;Feb 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Desistimiento;;45366;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45345;Feb 24;Cobro indebido;BODAPHONE;Celulares;Iphone;Celular;63;Pendiente constancia desistimiento;;45379;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45345;Feb 24;Incumplimiento de servicio;DECOEURO, S.A.;Servicios de instalaci¢n;;;1337.62;Ministerio P£blico;;45408;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45345;Feb 24;Incumplimiento de garant°a;GAES PANAMA, S.A.;Cl°nicas/ Hospitales;;Audifonos;2295;Acuerdo en audiencia/Reemplazo;;45442;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45348;Feb 24;Incumplimiento de garant°a;TICKET PLUS;Eventos art°sticos;;;96.3;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45351;Feb 24;Devoluci¢n de dinero;PROMOTORA CASAS PACIFICAS;Inmobiliarias;;Vivienda;818;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45344;Feb 24;Incumplimiento de garant°a;TOP TECHNOLOGY, S.A.;Celulares;;;299.6;Resoluci¢n/Reemplazo;;45433;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45344;Feb 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Desistimiento;;45390;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45348;Feb 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;32.9;Acuerdo en audiencia/Varios;;45412;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45344;Feb 24;Incumplimiento de garant°a;OPTIGLASS, S.A.;Opticas;;Lentes;187.26;Resoluci¢n/Devoluci¢n;187.26;45579;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45348;Feb 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Desistimiento;;45376;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45351;Feb 24;Incumplimiento de garant°a;BODAPHONE;Celulares;;Celular;1080;Resoluci¢n/Reemplazo;;45589;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45348;Feb 24;Incumplimiento de servicio;SERVICIOS RP MARIA;Repuestos y reparaciones (talleres varios no autos);;Refrigeradora;196.83;Desistimiento/Devoluci¢n;196.83;45400;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45348;Feb 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;31;Desistimiento;;45369;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45351;Feb 24;Incumplimiento de garant°a;E-VISION;ElectrodomÇsticos/equipos electr¢nicos;;;1068.88;Desistimiento;;45391;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45351;Feb 24;Incumplimiento de servicio;TTARAM SPA;Centros de estÇticas;;;224.37;Corregidur°a/Casa de Justicia Comunitaria de Paz;;45425;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45351;Feb 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Desistimiento;;45387;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45351;Feb 24;Falta de informaci¢n;COLOMBIA TOURS, S.A.;Agencias de viajes;;;3703.6;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45351;Feb 24;Incumplimiento de servicio;AEXPRESS CARGO, S.A.;Ventas por internet;;Lentes;158.14;Desistimiento/Devoluci¢n;158.14;45391;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45351;Feb 24;Incumplimiento de servicio;PORTEX LOGISTICS, S.A.;Ventas por internet;;Sofa cama;3568;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45351;Feb 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Resoluciones/Varios;;45401;Abri 24;2024;2024
